"csize","cdense","usize","udense","si","phys","age","ba","dbh","height","volume","mortal","dense","x","y","infected.mndnr","infected.USU"
4,2,0,0,38,4,64,63,6,0,68,0,3,153405.701044138,-57771.1741386158,0,0
4,4,1,3,41,4,67,118,8,51,201,0,1,153536.340954989,-58043.3514026366,1,0
4,4,1,3,41,4,67,118,8,51,201,0,1,153848.561171521,-57976.0510146916,1,0
2,3,0,0,18,4,45,82,2,15,10,0,3,143716.633048699,-36314.024588705,0,1
4,1,1,2,29,4,80,71,6,38,46,0,1,141008.515101636,-46749.8797586178,1,1
4,5,1,4,37,4,65,113,8,45,206,0,2,153516.904353886,-57582.9854586069,1,1
4,5,1,4,37,4,65,113,8,45,206,0,2,153876.293837825,-57522.0769775696,1,1
4,1,1,2,29,4,80,71,6,38,46,0,1,140944.891831322,-47492.3161235452,1,0
2,4,0,0,20,4,120,30,2,10,19,3,2,-66370.4001866553,33935.9896761328,1,1
2,5,0,0,18,5,85,0,2,17,24,0,0,-66540.3743001298,32889.355211596,0,1
2,6,0,0,18,5,68,25,2,18,28,3,0,-66738.4041628193,32634.8814490698,1,1
2,5,0,0,18,5,85,0,2,17,24,0,0,-67204.9110189396,32949.6640517851,0,1
1,8,0,0,13,5,60,40,0,5,39,1,0,-67679.9043220404,32468.7142705433,1,1
2,5,0,0,20,5,68,23,2,24,25,2,2,-67472.313915298,33959.550887486,1,1
2,7,0,0,28,4,33,107,2,0,0,0,0,42750.1590630553,-10852.660170421,0,0
4,3,3,2,67,3,52,100,8,0,72,0,2,42526.5031176078,-11075.7090223441,0,0
4,4,1,1,59,3,49,97,7,57,167,2,1,42655.2555026551,-11055.4993495708,0,0
4,3,0,0,32,4,94,73,6,45,141,0,0,43062.9184134655,-11292.2733458122,0,1
1,9,0,0,28,4,12,0,0,0,0,0,0,42576.2750446568,-10860.456130906,0,0
4,3,1,3,28,4,114,88,6,44,132,0,2,43589.3880873835,-13604.5579884034,0,1
4,3,3,1,40,4,70,135,6,45,148,1,1,13673.3242038722,-33824.9119668966,1,1
4,4,3,1,50,4,75,123,7,65,203,0,1,13413.6919710743,-33622.0011208802,1,1
2,3,0,0,26,4,29,60,2,16,7,1,3,13925.0883304703,-33169.8036066256,1,1
1,4,0,0,41,4,1,0,0,0,20,0,0,14088.4011373204,-33068.8509558327,0,1
4,3,1,3,40,4,67,87,6,46,89,0,3,14095.8678617955,-32907.5741219353,0,1
1,1,0,0,35,4,6,18,0,2,2,0,3,14446.1944972923,-32916.2921337485,0,1
1,2,0,0,54,4,4,62,0,1,5,0,2,14435.8333088384,-33121.6996551622,0,1
4,4,1,4,43,5,85,95,8,59,173,1,3,147351.795155596,-69548.5002979795,0,1
4,1,1,3,52,5,51,68,7,52,28,0,2,140824.872513799,-46764.5170882707,0,1
5,5,1,2,62,3,53,130,10,66,143,1,2,141016.235595668,-46743.4418021031,0,1
1,1,0,0,50,3,2,27,0,0,0,0,3,162141.12115789,-57330.9690649603,0,0
1,2,0,0,21,5,70,0,0,0,0,0,2,162408.990090638,-57829.6401403556,0,1
4,2,2,1,68,2,27,90,6,46,37,1,2,174193.757717435,-35288.0264848508,0,1
2,2,0,0,34,4,30,27,2,16,10,0,1,174212.162509523,-35082.5368403159,1,1
4,3,2,1,72,3,27,94,6,51,90,1,2,174215.432785136,-34836.2837362206,0,1
5,2,1,2,46,3,80,60,11,58,67,2,2,172301.712326714,-51990.3026931379,0,1
2,1,0,0,21,5,119,50,2,0,0,0,0,173053.116829217,-53000.880983864,0,1
4,1,1,2,28,5,104,100,6,41,50,2,1,173099.540522356,-52883.660500831,0,1
4,2,0,0,23,5,105,100,8,0,77,0,3,173080.409522225,-52741.0193085251,0,1
4,2,1,1,40,5,63,80,6,47,60,0,3,172545.991188977,-53195.2268597987,0,1
1,2,0,0,20,5,15,27,0,6,4,2,3,172610.8617824,-53275.0385708846,1,1
2,1,0,0,21,5,119,30,2,0,0,0,0,172787.653932991,-53258.0720385155,0,1
4,2,2,1,30,5,77,90,6,39,115,0,1,172623.978231017,-53409.8187875804,0,1
2,1,0,0,24,4,21,0,2,0,5,0,0,51361.8641459505,-141236.798938284,0,1
4,3,1,3,51,3,69,70,8,62,51,0,2,137409.156757476,-34232.5075146575,0,0
4,2,1,2,34,2,72,50,6,41,58,0,2,137517.047632603,-34358.0034726234,1,0
4,1,3,3,35,4,74,50,7,46,21,0,2,137297.644107151,-34413.3718656851,0,0
4,3,3,1,65,3,40,66,7,56,92,0,3,137256.422840661,-34285.1439072341,0,0
4,7,0,0,52,2,74,130,7,63,236,0,1,137392.620909708,-34552.8006416494,0,0
5,3,1,5,46,3,47,60,9,43,82,1,0,112008.460085907,-63740.1475931248,0,1
4,6,0,0,46,4,66,130,7,53,245,0,1,111766.736854551,-63728.7026365101,0,1
4,4,0,0,35,4,96,110,7,56,185,0,2,127934.202361801,-5512.06719074678,0,0
3,2,0,0,28,4,49,120,4,27,3,0,2,127705.876587797,-5381.77764647547,0,0
5,3,1,1,26,4,85,100,10,0,147,0,2,163407.671551731,-58390.499222328,0,1
3,2,0,0,21,5,120,75,3,0,0,0,2,162590.591289969,-58993.3726101704,0,1
4,2,2,1,20,4,110,120,7,0,30,0,2,161971.641467789,-59157.075097654,0,1
2,2,0,0,16,5,50,15,2,14,5,0,2,57487.5131663928,-21983.685229064,0,0
4,1,1,1,33,5,97,45,7,48,62,0,3,3690.52016519912,-30552.7405444365,0,0
4,2,1,2,27,5,88,78,5,38,84,0,3,4097.54704101215,-30650.6372337425,0,0
1,5,0,0,20,4,9,72,0,1,13,0,3,4638.14409421402,-30470.0294470116,0,0
3,4,0,0,23,5,94,97,4,33,7,0,3,4697.67314658826,-29797.3477563141,0,0
4,2,1,1,38,3,64,87,7,45,40,2,2,138613.062508063,-59458.5448430311,1,1
1,3,0,0,8,5,55,0,0,0,0,0,2,139092.854246358,-59569.1531704431,0,1
1,4,0,0,12,5,40,0,0,0,0,0,2,138984.812411221,-59673.0325262547,0,1
1,4,0,0,12,5,40,0,0,0,0,0,2,140246.159991561,-59570.1436856491,0,1
2,2,0,0,11,4,97,40,2,18,9,2,0,139558.35754649,-59413.075132316,1,1
4,1,1,3,34,4,71,60,6,42,50,2,0,139444.765194049,-59716.6403444428,1,1
5,6,1,1,58,3,69,146,10,67,203,1,2,144992.46869479,-58468.6463991934,0,1
4,3,2,2,29,3,69,187,5,35,97,1,0,145474.509515725,-58288.5330338143,0,0
4,2,3,2,35,3,74,142,7,45,100,0,1,145348.527349175,-58752.3078464177,1,1
4,2,1,1,29,4,109,37,7,43,42,2,3,145498.870527956,-58781.7207038505,1,1
5,6,1,2,55,3,68,215,9,62,240,2,0,145423.269753611,-58864.2633712897,0,1
0,0,0,0,0,5,0,0,0,0,0,0,3,64216.6385027483,-73283.1876277206,0,0
0,0,0,0,0,5,0,0,0,0,0,0,1,64677.5607668517,-73144.207435837,0,0
1,1,0,0,19,5,27,0,0,7,4,0,3,64499.7213563052,-73435.1795862038,0,0
4,1,3,3,22,5,131,125,5,35,30,1,1,-70404.2752106432,37865.628358284,1,0
2,5,0,0,18,4,30,73,2,18,11,0,1,-70373.1409751641,37366.7482326832,0,0
4,2,3,4,25,5,100,92,5,35,77,0,1,-70218.7713604308,37150.3923444431,0,1
3,1,0,0,18,5,58,36,4,20,4,1,1,-69978.2768558159,37750.2209437415,0,0
2,1,0,0,22,4,48,55,2,20,3,1,2,-69795.1867064961,37191.3718836037,0,0
1,2,0,0,14,4,8,0,0,1,10,0,1,-69277.7791428903,37348.9693581071,0,0
3,2,0,0,21,4,91,80,4,30,5,0,1,-69151.0371291572,37281.1052238885,0,0
2,2,0,0,19,5,37,50,2,18,4,1,1,-69092.2559234941,37895.2517453162,1,0
2,2,0,0,19,5,37,50,2,18,4,1,1,-69090.5913650697,38157.3024911406,1,0
1,8,0,0,10,5,20,0,0,5,39,0,2,-68569.6815489503,38667.1149602644,0,0
1,2,0,0,17,5,12,2,0,2,9,0,1,-69248.4619569096,38329.9388844902,0,0
3,4,0,0,22,5,115,5,4,30,8,0,1,-69349.1416091467,38779.5216427539,0,1
2,6,0,0,20,5,80,15,2,20,9,0,1,-69104.0316912296,38714.2602250073,0,0
1,5,0,0,20,5,20,0,0,4,18,0,2,-69521.5738566378,38971.2775482498,0,1
4,2,0,0,38,4,88,60,7,0,73,0,3,73174.7154219146,-236.627824912779,0,0
1,3,0,0,80,2,3,33,0,0,0,0,0,73517.6520799422,-125.080715782009,0,0
1,5,0,0,36,5,5,0,0,1,25,0,1,22141.3240261136,-12250.9305846011,0,1
1,1,0,0,36,4,1,0,0,1,7,0,1,22601.4779608689,-12121.7255156692,0,0
4,1,1,3,36,5,52,81,5,35,36,0,1,22276.0837785927,-11867.551705882,0,1
1,1,0,0,32,4,0,0,0,0,8,0,3,19031.5151341303,-5742.47211050428,0,1
4,1,1,5,27,4,91,95,6,0,58,0,0,19258.9611102522,-5494.59535061847,0,1
4,1,1,3,29,4,97,104,5,0,58,0,3,19120.4357563708,-6402.95070945565,0,1
1,3,0,0,20,5,85,45,0,0,0,0,0,19338.8617080767,-6105.08530071937,0,1
1,1,0,0,28,4,0,0,0,0,8,0,3,19722.6279291878,-6143.7425484648,0,0
1,3,0,0,32,4,4,0,0,1,16,0,2,19901.2332296995,-6404.19089637045,0,0
1,3,0,0,20,5,85,45,0,0,13,0,0,19577.6829591111,-5671.58372724708,0,0
1,2,0,0,35,4,0,0,0,1,10,0,2,20651.2676608972,-5473.08472624235,0,0
4,1,1,5,27,4,74,95,6,0,58,0,0,19663.9011344786,-5259.1196635589,0,0
1,1,0,0,31,5,15,27,0,1,4,0,3,4072.95889019698,-30151.5749360463,0,0
2,5,0,0,18,4,71,45,2,17,20,0,2,54928.515228296,-17800.6137263998,0,0
4,1,1,3,26,4,112,68,6,38,60,0,2,54867.1210934794,-17701.2397284899,0,0
4,3,3,3,34,4,64,158,5,40,142,0,2,57116.4833218429,-21349.6351661487,0,0
4,3,1,4,32,4,81,145,6,43,157,0,2,57435.1298977573,-21691.8376706503,0,0
5,3,1,4,23,4,120,87,10,35,161,0,2,166001.887022512,-59163.184750245,0,1
4,2,1,2,37,3,70,52,7,43,56,0,2,166324.558266665,-59226.9647866767,0,0
4,2,1,3,26,4,151,86,6,41,78,2,2,165900.952734527,-59418.5316564618,1,1
5,2,1,1,31,4,141,72,10,47,67,0,2,166876.65614449,-59684.2068765247,0,0
5,3,1,4,23,4,120,87,10,35,161,0,2,166414.522198498,-59677.6587394755,0,0
4,2,1,3,26,4,151,86,6,41,78,2,2,166082.028416019,-59597.799051255,1,1
5,3,1,4,23,4,120,87,10,35,161,0,2,166610.113362193,-59846.1304824073,0,0
4,3,1,3,30,4,71,65,7,38,158,0,2,165509.177307735,-59874.0598061197,0,1
4,3,3,1,32,4,75,110,7,42,130,0,2,166746.035505321,-59846.2380998395,1,1
4,3,1,4,34,4,66,70,7,40,86,1,1,166288.588190247,-60118.3822790282,1,1
4,2,1,4,30,4,70,107,6,36,100,0,1,166661.190479815,-59966.3154454725,0,1
4,2,1,3,47,4,63,58,8,55,70,1,2,165667.017768138,-60275.6240982804,1,1
4,5,1,3,38,4,70,120,8,45,230,1,1,165157.917184171,-60110.780760753,0,0
4,2,2,2,34,4,65,105,6,40,123,0,2,166320.259798386,-60294.9840368358,0,0
4,3,1,4,23,4,78,106,8,32,118,0,2,165211.673786714,-60438.9916844666,0,0
5,5,1,2,25,4,113,146,10,36,217,0,2,166299.73361978,-60393.9946503323,0,0
2,2,0,0,16,5,120,20,2,23,11,0,2,4814.52034673019,50204.6930302083,0,0
2,2,0,0,19,5,110,30,2,30,9,0,2,5526.10808893014,49888.1038122158,0,0
4,3,1,1,40,4,80,83,7,0,125,0,2,4812.54635138216,49807.3259971384,0,0
4,3,1,2,22,5,119,112,7,34,100,0,1,3739.04426496563,49604.067331627,0,1
2,2,0,0,20,5,93,65,2,28,8,0,0,4255.28957190964,49587.9341455977,0,1
4,5,3,1,37,4,136,150,6,37,254,1,2,3122.67444340693,49359.0237174248,1,0
1,4,0,0,33,4,1,0,0,1,25,0,2,4473.65604834352,49369.8876100667,0,0
4,4,3,1,32,4,120,90,6,52,180,0,3,4043.44593250478,49339.3762042411,0,0
4,2,1,1,28,4,67,50,6,0,110,0,2,4575.59546011244,48977.772946314,0,1
2,1,0,0,18,5,110,0,2,30,6,0,2,5178.2509675097,48334.1546467487,0,0
4,4,3,1,36,4,90,161,6,51,206,0,0,3320.82699406688,49011.0588991819,0,1
4,2,1,1,37,4,90,63,7,55,100,0,1,3567.9725674683,49165.5355508672,0,0
4,1,1,2,38,4,55,76,6,43,50,0,1,4223.3577326602,48998.5141145419,0,0
4,2,3,2,29,4,112,117,6,43,79,0,1,3686.92234437121,48823.0811783634,0,1
2,1,0,0,24,4,76,36,2,0,0,0,2,4544.43021369918,48730.3560607564,0,1
1,6,0,0,20,5,40,60,0,10,18,0,2,2962.12492037658,48605.9324410819,0,0
4,1,2,2,27,4,69,62,5,33,48,1,0,3525.4876683692,48555.8199605662,1,1
1,1,0,0,10,5,30,0,0,5,3,0,0,4177.87002019671,48369.7326732771,0,1
4,2,3,2,36,4,98,116,6,50,117,0,1,4035.23213245731,48743.4540735437,0,0
4,3,1,1,33,4,86,87,6,45,133,0,0,4258.33675846993,48575.8332611052,0,1
1,1,0,0,19,5,72,10,0,23,6,0,0,3109.96553487773,48317.0926639233,0,1
1,4,0,0,15,5,40,0,0,12,9,0,0,3823.23032786773,48166.5518861795,0,0
2,4,0,0,16,5,85,0,2,21,11,0,0,3618.24747028109,48285.588569724,0,0
2,3,0,0,23,4,59,30,2,0,0,0,2,65693.8351570407,7202.41897734813,0,0
5,6,2,2,59,2,49,155,9,0,132,0,0,66010.0257562913,7321.13520671427,0,0
2,5,0,0,25,4,25,105,2,0,0,0,3,66092.4434897542,7107.56703725271,0,1
4,1,2,1,23,4,99,106,5,0,60,0,3,66397.3809517564,7177.31731172185,0,1
1,3,0,0,25,4,15,25,0,0,0,0,3,66566.5854825093,7149.3431942435,0,1
4,1,2,1,23,4,99,106,5,0,60,0,3,66234.3827136871,6818.10040896572,0,1
1,3,0,0,26,4,30,20,0,0,0,0,3,66143.8201458929,6790.34983554482,0,1
4,7,2,1,70,2,41,140,8,0,317,0,2,65927.988488404,6794.33665825427,0,1
4,6,1,2,65,2,46,121,8,0,275,0,0,65281.3462725978,6818.71271663345,0,1
1,9,0,0,59,3,0,30,0,1,18,0,2,66595.0385139133,7009.96900388226,0,1
4,2,1,4,28,4,48,68,8,0,87,0,3,65609.9773792221,6721.88523401972,0,0
4,4,0,0,58,4,47,80,7,0,130,0,2,51143.3043006267,-141013.972018686,0,1
3,1,2,1,40,4,32,22,3,0,5,0,0,51304.2662594157,-141016.401856288,0,1
