year,goldtime,gender,,
1900,11,M,,
1904,11,M,,
1908,10.8,M,,
1912,10.8,M,,
1920,10.8,M,,
1924,10.6,M,,
1928,10.8,M,,
1932,10.3,M,,
1936,10.3,M,,
1948,10.3,M,,
1952,10.4,M,,
1956,10.5,M,,
1960,10.2,M,,
1964,10,M,,
1968,9.95,M,,
1972,10.14,M,,
1976,10.06,M,,
1980,10.25,M,,
1984,9.99,M,,
1988,9.92,M,,
1992,9.96,M,,
1996,9.84,M,,
2000,9.87,M,,
2004,9.85,M,,
1928,12.2,W,,
1932,11.9,W,,
1936,11.5,W,,
1948,11.9,W,,
1952,11.5,W,,
1956,11.5,W,,
1960,11,W,,
1964,11.4,W,,
1968,11.08,W,,
1972,11.07,W,,
1976,11.08,W,,
1980,11.06,W,,
1984,10.97,W,,
1988,10.54,W,,
1992,10.82,W,,
1996,10.94,W,,
2000,10.75,W,,
2004,10.93,W,,
